iata,name,city,state,country,latitude,longitude,lineage
Z10032,3rd Party-New York-NY,New York,NY,USA,40.8407,-73.9415,0
Z10036,3rd Party-New York-NY,New York,NY,USA,40.7595,-73.9902,0
Z10121,3rd Party-New York-NY,New York,NY,USA,40.7496,-73.9919,0
Z10457,3rd Party-Bronx-NY,Bronx,NY,USA,40.8467,-73.8986,0
Z10458,3rd Party-Bronx-NY,Bronx,NY,USA,40.8642,-73.8888,0
Z10466,3rd Party-Bronx-NY,Bronx,NY,USA,40.8909,-73.847,0
Z10473,3rd Party-Bronx-NY,Bronx,NY,USA,40.8185,-73.8589,0
Z10474,3rd Party-Bronx-NY,Bronx,NY,USA,40.8132,-73.8876,0
Z10475,3rd Party-Bronx-NY,Bronx,NY,USA,40.8785,-73.8254,0
Z10504,3rd Party-Armonk-NY,Armonk,NY,USA,41.1299,-73.7035,0
Z10509,3rd Party-Brewster-NY,Brewster,NY,USA,41.4136,-73.5956,0
Z10522,3rd Party-Dobbs Ferry-NY,Dobbs Ferry,NY,USA,41.0127,-73.866,0
Z10523,3rd Party-Elmsford-NY,Elmsford,NY,USA,41.0571,-73.8166,0
Z10548,3rd Party-Montrose-NY,Montrose,NY,USA,41.2484,-73.9415,0
Z10550,3rd Party-Mount Vernon-NY,Mount Vernon,NY,USA,40.9076,-73.8371,0
