iata,name,city,state,country,latitude,longitude
Z07524,"3rd Party-Paterson-NJ",Paterson,NJ,USA,40.9304,-74.1583
Z07606,"3rd Party-South Hackensack-NJ","South Hackensack",NJ,USA,40.8637,-74.0464
Z07631,"3rd Party-Englewood-NJ",Englewood,NJ,USA,40.8933,-73.9758
Z07652,"3rd Party-Paramus-NJ",Paramus,NJ,USA,40.9471,-74.0705
Z07701,"3rd Party-Red Bank-NJ","Red Bank",NJ,USA,40.353,-74.077
Z07712,"3rd Party-Asbury Park-NJ","Asbury Park",NJ,USA,40.2327,-74.0314
Z07722,"3rd Party-Colts Neck-NJ","Colts Neck",NJ,USA,40.3002,-74.1831
Z07726,"3rd Party-Englishtown-NJ",Englishtown,NJ,USA,40.2942,-74.3421
Z07728,"3rd Party-Freehold-NJ",Freehold,NJ,USA,40.241,-74.2763
Z07731,"3rd Party-Howell-NJ",Howell,NJ,USA,40.1466,-74.2082
Z07748,"3rd Party-Middletown-NJ",Middletown,NJ,USA,40.4102,-74.1172
Z07753,"3rd Party-Neptune-NJ",Neptune,NJ,USA,40.2089,-74.0526
Z07801,"3rd Party-Dover-NJ",Dover,NJ,USA,40.8892,-74.5546
Z07830,"3rd Party-Califon-NJ",Califon,NJ,USA,40.7238,-74.8187
Z07869,"3rd Party-Randolph-NJ",Randolph,NJ,USA,40.8476,-74.5748
Z07921,"3rd Party-Bedminster-NJ",Bedminster,NJ,USA,40.6523,-74.653
Z07940,"3rd Party-Madison-NJ",Madison,NJ,USA,40.7588,-74.4161
Z07960,"3rd Party-Morristown-NJ",Morristown,NJ,USA,40.7921,-74.4856
Z07974,"3rd Party-New Providence-NJ","New Providence",NJ,USA,40.6983,-74.4023
Z07981,"3rd Party-Whippany-NJ",Whippany,NJ,USA,40.8215,-74.4265
Z08002,"3rd Party-Cherry Hill-NJ","Cherry Hill",NJ,USA,39.9323,-75.0227
Z08014,"3rd Party-Bridgeport-NJ",Bridgeport,NJ,USA,39.8036,-75.3442
Z08016,"3rd Party-Burlington-NJ",Burlington,NJ,USA,40.0683,-74.8446
Z08053,"3rd Party-Marlton-NJ",Marlton,NJ,USA,39.8849,-74.9042
Z08060,"3rd Party-Mount Holly-NJ","Mount Holly",NJ,USA,39.9916,-74.7975
Z08062,"3rd Party-Mullica Hill-NJ","Mullica Hill",NJ,USA,39.7169,-75.2199
Z08069,"3rd Party-Penns Grove-NJ","Penns Grove",NJ,USA,39.7126,-75.4691
Z08078,"3rd Party-Runnemede-NJ",Runnemede,NJ,USA,39.85,-75.0767
Z08079,"3rd Party-Salem-NJ",Salem,NJ,USA,39.5499,-75.4394
