origin,destination,count
32.7984-97.354,31.0995-97.3577,274.00637719340324
39.0766-94.7902,44.9216-93.4086,273.77772277359963
40.5693-75.5889,41.0108-76.8365,272.97489648132324
39.0766-94.7902,38.6415-94.3413,271.8941545730591
35.8406-80.8799,40.7913-76.5639,271.44293359375
33.455-84.1721,35.3292-80.8049,270.9163728464126
40.974-91.572,39.1264-95.733,268.5896596191406
39.9266-83.8128,41.4127-81.5607,267.7180610595703
35.8406-80.8799,38.1906-85.5535,267.4494546875
41.8857-88.3196,41.9351-89.0689,267.1893949707031
39.0766-94.7902,43.9844-90.4842,266.7162226715088
41.8857-88.3196,41.8999-87.8598,266.68178384628294
35.8406-80.8799,33.9914-81.2505,264.72841025390625
39.0766-94.7902,35.4707-86.4597,264.0582487049103
41.8857-88.3196,37.1438-84.0784,263.7456122375488
39.0766-94.7902,37.9822-84.1702,262.59305510253904
40.974-91.572,42.8843-87.8992,262.3541663574219
33.455-84.1721,35.6827-80.4771,261.10705019531247
42.0193-95.3538,42.484-90.5894,260.20293840122224
39.0766-94.7902,39.2849-76.6878,260.1427935546875
39.0766-94.7902,32.6605-85.3992,259.7107355009079
34.0018-117.528,34.0807-117.274,259.35897539634703
40.974-91.572,34.7292-92.3402,257.99979384765624
42.0193-95.3538,39.0667-94.6887,256.8323122558594
40.974-91.572,40.1499-89.3675,256.7055608398437
32.7984-97.354,36.1474-86.3106,256.478515234375
40.5693-75.5889,39.5082-76.1807,256.190969079113
34.0018-117.528,39.6598-119.879,255.76616751937866
38.1417-85.8637,26.2288-80.1582,255.74416289062498
41.8857-88.3196,40.4868-85.6077,254.45485744628905
33.455-84.1721,27.9935-82.4091,252.04475814590452
39.0766-94.7902,35.4901-93.4851,252.00636665916443
39.0766-94.7902,38.7863-90.7212,251.2699072631836
35.8406-80.8799,40.5201-74.2771,251.06818037109375
33.455-84.1721,33.7975-84.6062,250.92252595214842
33.455-84.1721,25.8857-80.2326,250.36117282257078
41.8857-88.3196,43.1082-88.4893,249.18037263488768
41.6887-112.223,47.1964-122.189,246.79724308929443
39.0766-94.7902,34.7417-97.2285,246.37216068954467
33.455-84.1721,33.5885-85.1062,242.9427293012619
41.8857-88.3196,29.8019-82.4887,241.53704951171875
39.9266-83.8128,40.8215-80.1303,240.58315095214843
40.4218-104.692,37.8064-122.289,240.25344514160156
40.974-91.572,41.2923-95.9343,238.86991015625
40.5693-75.5889,39.8036-75.3442,238.78156618347168
33.455-84.1721,26.41-80.0884,238.36161524410247
34.0018-117.528,45.4168-122.529,237.57970301389693
40.5693-75.5889,44.0948-70.1914,237.4603600727081
32.7984-97.354,33.4354-112.2,237.136184765625
41.6376-93.6164,41.8123-87.8232,235.25954991455077
39.0766-94.7902,41.1294-100.775,232.4884780647278
33.455-84.1721,38.1252-78.197,232.30897578124998
32.7984-97.354,34.7861-106.705,231.81796458740234
41.2052-95.9554,41.3206-95.3975,231.65982578125
46.7284-122.951,48.371-122.244,229.07709072265624
40.5693-75.5889,40.5201-74.2771,228.06615511946677
33.455-84.1721,34.2619-86.2283,227.48916176986694
33.455-84.1721,28.0138-82.1169,226.073866166687
40.974-91.572,41.7253-93.6048,225.12881972656248
33.455-84.1721,29.1055-81.0864,225.03254013671875
32.7984-97.354,29.8587-95.5724,224.94881994628906
38.1417-85.8637,41.9872-72.5637,224.406342578125
33.455-84.1721,30.5736-84.6147,224.3560126159668
33.455-84.1721,30.5208-90.3064,224.09586856918335
41.8857-88.3196,39.533-83.439,222.49270502319334
35.8406-80.8799,38.7902-77.5129,220.00420458984374
41.6887-112.223,40.7506-111.941,219.3482213607788
32.7984-97.354,30.5208-90.3064,218.94260399780273
41.6887-112.223,48.4146-122.352,218.30620078125
40.5693-75.5889,38.9169-75.6134,217.90603253479003
38.1417-85.8637,38.7246-88.0866,216.22984650878905
39.0766-94.7902,38.189-85.6768,215.9889195007324
39.0766-94.7902,34.4891-88.9997,215.62096373939514
39.0766-94.7902,39.9769-76.6778,212.1089349609375
39.0766-94.7902,32.6303-97.271,211.3379663330078
35.8406-80.8799,42.8537-73.7844,211.335350390625
41.8857-88.3196,43.9844-90.4842,211.19428740386962
40.974-91.572,41.3884-81.4436,210.95003046875
33.455-84.1721,37.2888-80.0782,209.21353991699218
32.7984-97.354,39.9585-83.0823,208.34949999999998
35.8406-80.8799,36.3422-94.0714,208.25065111083984
34.0018-117.528,33.9021-118.01,207.88532629318237
41.2052-95.9554,43.6746-96.7913,207.6434201171875
41.8857-88.3196,39.6-77.8158,207.41304462890625
32.7984-97.354,40.1755-87.6124,206.5052
33.455-84.1721,32.3023-86.305,206.42183615875243
40.5693-75.5889,40.6934-75.4712,206.23326612582207
40.5693-75.5889,42.534-70.9615,205.8107854920864
32.7984-97.354,29.7608-95.2604,203.35976455078125
32.8036-96.5696,32.7477-96.2892,202.94339856739043
40.974-91.572,44.7792-88.6064,202.835021875
39.0766-94.7902,42.0745-93.8744,201.11238489346502
39.0766-94.7902,44.4601-88.0074,200.77853648386
39.9266-83.8128,38.8605-94.7758,199.4249319580078
32.7984-97.354,42.8369-78.7556,199.32826264648438
40.5693-75.5889,39.7921-77.7492,198.54584731750487
39.0766-94.7902,31.7688-106.43,197.93977490234374
33.455-84.1721,36.3371-78.3874,197.69632054634093
41.6499-91.5202,41.5738-91.2659,197.62075923304556
41.6887-112.223,37.7237-121.447,197.58153892822264
34.0018-117.528,34.016-117.687,197.28125512371062
33.455-84.1721,37.1438-84.0784,196.75993254852295
42.0193-95.3538,41.2982-88.1464,196.15625429687498
40.5693-75.5889,41.9049-71.1029,195.75025946402548
39.0766-94.7902,39.9542-84.1768,194.83378476562498
39.0766-94.7902,39.0667-94.6887,194.2627606750488
33.455-84.1721,33.6588-85.8518,193.58962395477295
39.0766-94.7902,38.8898-94.8556,192.83621951293944
39.9266-83.8128,41.3894-81.5271,192.3840697387695
41.2046-96.1211,41.1759-96.1339,190.8624394012451
40.5693-75.5889,42.7933-73.9894,189.8117111328125
