iata,name,state,country,latitude,longitude,lineage,zipcoderegion
33.9817-83.883,Destination-Dacula-GA,GA,USA,33.9817,-83.883,0,30
33.9841-85.8034,Destination-Gadsden-AL,AL,USA,33.9841,-85.8034,0,35
33.985-117.897,Destination-Rowland Heights-CA,CA,USA,33.985,-117.897,0,91
33.9875-85.0551,Destination-Rockmart-GA,GA,USA,33.9875,-85.0551,0,30
33.9882-88.4678,Destination-Amory-MS,MS,USA,33.9882,-88.4678,0,38
33.9888-118.186,Destination-Maywood-CA,CA,USA,33.9888,-118.186,0,90
33.989-118.089,Destination-Pico Rivera-CA,CA,USA,33.989,-118.089,0,90
33.9906-80.9983,Destination-Columbia-SC,SC,USA,33.9906,-80.9983,0,29
33.9912-117.371,Destination-Riverside-CA,CA,USA,33.9912,-117.371,0,92
33.9914-81.2505,Destination-Lexington-SC,SC,USA,33.9914,-81.2505,0,29
33.9924-118.465,Destination-Venice-CA,CA,USA,33.9924,-118.465,0,90
33.9925-83.7106,Destination-Winder-GA,GA,USA,33.9925,-83.7106,0,30
33.9961-84.4746,Destination-Marietta-GA,GA,USA,33.9961,-84.4746,0,30
33.9972-118.401,Destination-Culver City-CA,CA,USA,33.9972,-118.401,0,90
33.9975-118.153,Destination-Los Angeles-CA,CA,USA,33.9975,-118.153,0,90
33.9985-81.0352,Destination-Columbia-SC,SC,USA,33.9985,-81.0352,0,29
33.9988-117.447,Destination-Riverside-CA,CA,USA,33.9988,-117.447,0,92
34.0002-118.226,Destination-Los Angeles-CA,CA,USA,34.0002,-118.226,0,90
34.0006-117.969,Destination-Hacienda Heights-CA,CA,USA,34.0006,-117.969,0,91
34.0012-84.0149,Destination-Lawrenceville-GA,GA,USA,34.0012,-84.0149,0,30
34.0023-118.036,Destination-Whittier-CA,CA,USA,34.0023,-118.036,0,90
34.006-80.9708,Destination-Columbia-SC,SC,USA,34.006,-80.9708,0,29
34.0065-78.1904,Destination-Bolivia-NC,NC,USA,34.0065,-78.1904,0,28
34.0071-118.259,Destination-Los Angeles-CA,CA,USA,34.0071,-118.259,0,90
34.0093-118.473,Destination-Santa Monica-CA,CA,USA,34.0093,-118.473,0,90
34.0098-118.337,Destination-Los Angeles-CA,CA,USA,34.0098,-118.337,0,90
34.0142-118.114,Destination-Montebello-CA,CA,USA,34.0142,-118.114,0,90
34.016-117.687,Destination-Chino-CA,CA,USA,34.016,-117.687,0,91
34.0184-117.854,Destination-Walnut-CA,CA,USA,34.0184,-117.854,0,91
34.0206-84.1429,Destination-Duluth-GA,GA,USA,34.0206,-84.1429,0,30
34.0207-117.899,Destination-West Covina-CA,CA,USA,34.0207,-117.899,0,91
34.0216-118.392,Destination-Culver City-CA,CA,USA,34.0216,-118.392,0,90
34.023-118.202,Destination-Los Angeles-CA,CA,USA,34.023,-118.202,0,90
34.0237-118.156,Destination-Los Angeles-CA,CA,USA,34.0237,-118.156,0,90
34.0264-118.283,Destination-Los Angeles-CA,CA,USA,34.0264,-118.283,0,90
34.0275-84.5147,Destination-Marietta-GA,GA,USA,34.0275,-84.5147,0,30
34.0293-118.242,Destination-Los Angeles-CA,CA,USA,34.0293,-118.242,0,90
34.0296-117.94,Destination-La Puente-CA,CA,USA,34.0296,-117.94,0,91
34.0297-118.353,Destination-Los Angeles-CA,CA,USA,34.0297,-118.353,0,90
34.0306-118.398,Destination-Los Angeles-CA,CA,USA,34.0306,-118.398,0,90
34.0322-118.49,Destination-Santa Monica-CA,CA,USA,34.0322,-118.49,0,90
34.0325-84.3177,Destination-Roswell-GA,GA,USA,34.0325,-84.3177,0,30
34.0336-117.038,Destination-Yucaipa-CA,CA,USA,34.0336,-117.038,0,92
34.0346-118.428,Destination-Los Angeles-CA,CA,USA,34.0346,-118.428,0,90
34.0361-117.609,Destination-Ontario-CA,CA,USA,34.0361,-117.609,0,91
34.0389-84.5971,Destination-Kennesaw-GA,GA,USA,34.0389,-84.5971,0,30
34.0416-81.1062,Destination-Columbia-SC,SC,USA,34.0416,-81.1062,0,29
34.0452-118.187,Destination-Los Angeles-CA,CA,USA,34.0452,-118.187,0,90
34.0456-117.753,Destination-Pomona-CA,CA,USA,34.0456,-117.753,0,91
34.0469-117.985,Destination-La Puente-CA,CA,USA,34.0469,-117.985,0,91
34.047-117.481,Destination-Fontana-CA,CA,USA,34.047,-117.481,0,92
34.0482-118.142,Destination-Monterey Park-CA,CA,USA,34.0482,-118.142,0,91
34.0498-84.3854,Destination-Roswell-GA,GA,USA,34.0498,-84.3854,0,30
34.0504-118.212,Destination-Los Angeles-CA,CA,USA,34.0504,-118.212,0,90
34.0505-118.048,Destination-South El Monte-CA,CA,USA,34.0505,-118.048,0,91
34.0511-118.808,Destination-Malibu-CA,CA,USA,34.0511,-118.808,0,90
34.0527-118.385,Destination-Los Angeles-CA,CA,USA,34.0527,-118.385,0,90
34.0527-84.0749,Destination-Suwanee-GA,GA,USA,34.0527,-84.0749,0,30
34.0567-118.412,Destination-Los Angeles-CA,CA,USA,34.0567,-118.412,0,90
34.0576-117.666,Destination-Ontario-CA,CA,USA,34.0576,-117.666,0,91
34.0616-118.239,Destination-Los Angeles-CA,CA,USA,34.0616,-118.239,0,90
34.0619-117.32,Destination-Colton-CA,CA,USA,34.0619,-117.32,0,92
34.0632-118.436,Destination-Los Angeles-CA,CA,USA,34.0632,-118.436,0,90
34.0633-117.169,Destination-Redlands-CA,CA,USA,34.0633,-117.169,0,92
34.0641-117.394,Destination-Bloomington-CA,CA,USA,34.0641,-117.394,0,92
34.0652-117.779,Destination-Pomona-CA,CA,USA,34.0652,-117.779,0,91
34.0661-118.085,Destination-Rosemead-CA,CA,USA,34.0661,-118.085,0,91
34.0663-81.0249,Destination-Columbia-SC,SC,USA,34.0663,-81.0249,0,29
34.0674-118.475,Destination-Los Angeles-CA,CA,USA,34.0674,-118.475,0,90
34.0681-117.938,Destination-West Covina-CA,CA,USA,34.0681,-117.938,0,91
