iata,name,state,country,latitude,longitude,lineage
Z18951,Origin-Quakertown-PA,PA,USA,40.4453,-75.3483,0
Z18964,Origin-Souderton-PA,PA,USA,40.3053,-75.3249,0
Z18977,Origin-Washington Crossing-PA,PA,USA,40.29,-74.8788,0
Z19013,Origin-Chester-PA,PA,USA,39.847,-75.3744,0
Z19018,Origin-Primos-PA,PA,USA,39.9229,-75.2963,0
Z19021,Origin-Croydon-PA,PA,USA,40.0935,-74.8991,0
Z19022,Origin-Crum Lynne-PA,PA,USA,39.8628,-75.3395,0
Z19057,Origin-Levittown-PA,PA,USA,40.1421,-74.8581,0
Z19061,Origin-Marcus Hook-PA,PA,USA,39.8329,-75.4406,0
Z19082,Origin-Upper Darby-PA,PA,USA,39.9585,-75.2685,0
Z19116,Origin-Philadelphia-PA,PA,USA,40.1174,-75.0153,0
Z19120,Origin-Philadelphia-PA,PA,USA,40.0339,-75.1212,0
Z19122,Origin-Philadelphia-PA,PA,USA,39.9777,-75.1433,0
Z19123,Origin-Philadelphia-PA,PA,USA,39.9641,-75.1476,0
Z19124,Origin-Philadelphia-PA,PA,USA,40.0174,-75.0876,0
Z19125,Origin-Philadelphia-PA,PA,USA,39.9782,-75.1256,0
Z19134,Origin-Philadelphia-PA,PA,USA,39.9918,-75.1111,0
Z19140,Origin-Philadelphia-PA,PA,USA,40.0122,-75.145,0
Z19143,Origin-Philadelphia-PA,PA,USA,39.9442,-75.2272,0
Z19145,Origin-Philadelphia-PA,PA,USA,39.9223,-75.1825,0
Z19146,Origin-Philadelphia-PA,PA,USA,39.9386,-75.1806,0
Z19147,Origin-Philadelphia-PA,PA,USA,39.9366,-75.154,0
Z19148,Origin-Philadelphia-PA,PA,USA,39.9199,-75.158,0
Z19153,Origin-Philadelphia-PA,PA,USA,39.899,-75.2322,0
Z19154,Origin-Philadelphia-PA,PA,USA,40.0915,-74.9772,0
Z19311,Origin-Avondale-PA,PA,USA,39.8257,-75.7724,0
Z19320,Origin-Coatesville-PA,PA,USA,39.9785,-75.8227,0
Z19335,Origin-Downingtown-PA,PA,USA,40.0235,-75.7138,0
Z19355,Origin-Malvern-PA,PA,USA,40.043,-75.5322,0
Z19363,Origin-Oxford-PA,PA,USA,39.782,-75.9746,0
Z19374,Origin-Toughkenamon-PA,PA,USA,39.831,-75.7552,0
Z19403,Origin-Norristown-PA,PA,USA,40.1461,-75.3837,0
Z19406,Origin-King Of Prussia-PA,PA,USA,40.093,-75.3752,0
Z19432,Origin-Devault-PA,PA,USA,40.0797,-75.5599,0
Z19438,Origin-Harleysville-PA,PA,USA,40.2705,-75.3857,0
Z19440,Origin-Hatfield-PA,PA,USA,40.2784,-75.2948,0
Z19464,Origin-Pottstown-PA,PA,USA,40.2535,-75.6348,0
Z19473,Origin-Schwenksville-PA,PA,USA,40.2571,-75.4709,0
Z19518,Origin-Douglassville-PA,PA,USA,40.2732,-75.7392,0
Z19522,Origin-Fleetwood-PA,PA,USA,40.4471,-75.82,0
Z19530,Origin-Kutztown-PA,PA,USA,40.5351,-75.7756,0
Z19533,Origin-Leesport-PA,PA,USA,40.4356,-75.9893,0
Z19601,Origin-Reading-PA,PA,USA,40.3481,-75.9357,0
Z19603,Origin-Reading-PA,PA,USA,40.3885,-75.963,0
Z19605,Origin-Reading-PA,PA,USA,40.391,-75.9375,0
Z19609,Origin-Reading-PA,PA,USA,40.3247,-75.9921,0
Z19610,Origin-Reading-PA,PA,USA,40.3351,-75.9709,0
Z19720,Origin-New Castle-DE,DE,USA,39.6693,-75.59,0
Z19801,Origin-Wilmington-DE,DE,USA,39.7386,-75.5482,0
Z19805,Origin-Wilmington-DE,DE,USA,39.7454,-75.5825,0
Z19933,Origin-Bridgeville-DE,DE,USA,38.7364,-75.608,0
Z19963,Origin-Milford-DE,DE,USA,38.9229,-75.4145,0
Z20109,Destination-Manassas-VA,VA,USA,38.7902,-77.5129,1
Z20111,Origin-Manassas-VA,VA,USA,38.7698,-77.4491,0
Z20701,Origin-Annapolis Junction-MD,MD,USA,39.1278,-76.7923,0
